ID,Order,Family,Family name,Common name,Scientific name,IUCN Status,ABA Status,CA List,Life list date,Life list location,US,CA,ABA,World Obs (Oct 2025),US Obs (Oct 2025),CA Obs (Oct 2025),Range,Featured,Order Target,Location
730,COLUMBIFORMES,Columbidae,Pigeons and Doves,Eared Dove,Zenaida auriculata,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"1,013,128",0,0,,,Yes,South America
619,COLUMBIFORMES,Columbidae,Pigeons and Doves,Laughing Dove,Spilopelia senegalensis,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"952,814",0,0,,,Yes,Africa/India
7044,PASSERIFORMES,Corvidae,"Crows, Jays, and Magpies",Rook,Corvus frugilegus,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"741,076",0,0,,,,
9528,PASSERIFORMES,Nectariniidae,Sunbirds and Spiderhunters,Purple-rumped Sunbird,Leptocoma zeylonica,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"665,208",0,0,,,,
5027,PASSERIFORMES,Furnariidae,Ovenbirds and Woodcreepers,Rufous Hornero,Furnarius rufus,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"628,335",0,0,,,,
6,CASUARIIFORMES,Casuariidae,Cassowaries and Emu,Emu,Dromaius novaehollandiae,UN,,,10/12/2024,AU-VIC,,,,"50,149",0,0,,,,
7,APTERYGIFORMES,Apterygidae,Kiwis,Southern Brown Kiwi,Apteryx australis,VU,,,1/7/2026,NZ-STL,,,,"2,399",0,0,,,,
8,APTERYGIFORMES,Apterygidae,Kiwis,Okarito Brown Kiwi,Apteryx rowi,VU,,,1/1/2026,NZ-WTC,,,,702,0,0,"Okarito Forest (west coast of South Island, New Zealand)",,,
7448,PASSERIFORMES,Cisticolidae,Cisticolas and Allies,Ashy Prinia,Prinia socialis,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"623,897",0,0,,,,
6995,PASSERIFORMES,Corvidae,"Crows, Jays, and Magpies",Rufous Treepie,Dendrocitta vagabunda,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"599,882",0,0,,,,
584,COLUMBIFORMES,Columbidae,Pigeons and Doves,Picazuro Pigeon,Patagioenas picazuro,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"562,657",0,0,,,,
